phrase,target
The real estate company posted a net loss of +Ã¯Â¿Â½  x201a -Ã¯Â¿Â½ 59.3 million +Ã¯Â¿Â½  x201a -Ã¯Â¿Â½ 0.21 per share compared with a net profit of +Ã¯Â¿Â½  x201a -Ã¯Â¿Â½ 31 million +Ã¯Â¿Â½  x201a -Ã¯Â¿Â½ 0.11 per share for the corresponding quarter of 2007 ,negative
"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years ",negative
"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 ",negative
Finnish media group Talentum has issued a profit warning ,negative
Net profit fell by almost half to +Ã¯Â¿Â½ 5.5 million from +Ã¯Â¿Â½ 9.4 million at the end of 2007 ,negative
Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 ,negative
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 ,negative
"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses ",negative
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % ,negative
Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate ,negative
"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspon",negative
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 ",negative
"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008 ",negative
"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008 ",negative
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million ,negative
Scanfil has also issued a profit warning ,negative
- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red ,negative
down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 ,negative
Finnish Bank of +Ã¯Â¿Â½land reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 ,negative
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 ,negative
"`` The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said ",negative
Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 ,negative
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 ",negative
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 ",negative
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 ,negative
"`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added ",negative
"YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year ",negative
"Profit for the period totalled EUR 0.8 mn , down from EUR 1.1 mn in the corresponding period in 2008 ",negative
"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries ",negative
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % ",negative
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn ",negative
"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme ",negative
